,type,country,activity,species,month,fatal,gender,year,age,wind_speed_950mb,wind_speed_900mb,wind_speed_850mb,wind_speed_800mb,wind_speed_750mb,wind_speed_700mb,wind_speed_650mb,wind_speed_600mb,wind_speed_550mb,wind_speed_500mb,wind_speed_450mb,wind_speed_400mb,wind_speed_350mb,wind_speed_300mb,wind_speed_250mb,wind_speed_200mb,wind_direction_950mb,wind_direction_900mb,wind_direction_850mb,wind_direction_800mb,wind_direction_750mb,wind_direction_700mb,wind_direction_650mb,wind_direction_600mb,wind_direction_550mb,wind_direction_500mb,wind_direction_450mb,wind_direction_400mb,wind_direction_350mb,wind_direction_300mb,wind_direction_250mb,wind_direction_200mb,rh_950mb,rh_900mb,rh_850mb,rh_800mb,rh_750mb,rh_700mb,rh_650mb,rh_600mb,rh_550mb,rh_500mb,rh_450mb,rh_400mb,rh_350mb,rh_300mb,rh_250mb,rh_200mb,timepoint,cloudcover,highcloud,midcloud,lowcloud,temp2m,lifted_index,rh2m,msl_pressure,prec_amount,snow_depth,wind10m.speed,latitud,longitud
889,Unprovoked,south africa,Body boarding,White,Dec,Y,M,1986.0,21.0,2.5,2.359375,2.234375,2.15625,2.1875,2.140625,2.375,2.484375,2.734375,2.984375,3.546875,3.703125,4.015625,4.140625,4.53125,4.84375,150.078125,191.25,182.65625,179.296875,204.296875,222.03125,224.609375,220.703125,228.125,230.78125,232.8125,237.1875,233.828125,230.078125,223.4375,216.25,12.921875,9.71875,8.015625,8.609375,9.4375,9.8125,10.203125,8.1875,5.796875,4.78125,3.3125,2.125,2.984375,3.796875,5.21875,7.765625,97.5,6.015625,-9999.0,-9999.0,-9999.0,23.875,2.015625,10.21875,1018.859375,1.078125,0.0,2.515625,-28.8166236,24.991639
890,Unprovoked,usa,Surfing,Unspecified,Dec,N,M,1986.0,40.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
891,Unprovoked,usa,Free diving  & spearfishing (submerged),White,Dec,N,M,1986.0,27.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
892,Unprovoked,usa,Swimming,Lemon,Oct,N,F,1986.0,6.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
893,Unprovoked,south africa,Racing ski,Unspecified,Oct,N,M,1986.0,32.0,2.5,2.359375,2.234375,2.15625,2.1875,2.140625,2.375,2.484375,2.734375,2.984375,3.546875,3.703125,4.015625,4.140625,4.53125,4.84375,150.078125,191.25,182.65625,179.296875,204.296875,222.03125,224.609375,220.703125,228.125,230.78125,232.8125,237.1875,233.828125,230.078125,223.4375,216.25,12.921875,9.71875,8.015625,8.609375,9.4375,9.8125,10.203125,8.1875,5.796875,4.78125,3.3125,2.125,2.984375,3.796875,5.21875,7.765625,97.5,6.015625,-9999.0,-9999.0,-9999.0,23.875,2.015625,10.21875,1018.859375,1.078125,0.0,2.515625,-28.8166236,24.991639
894,Invalid,south africa,Spearfishing,Unspecified,Aug,,M,1986.0,35.0,2.5,2.359375,2.234375,2.15625,2.1875,2.140625,2.375,2.484375,2.734375,2.984375,3.546875,3.703125,4.015625,4.140625,4.53125,4.84375,150.078125,191.25,182.65625,179.296875,204.296875,222.03125,224.609375,220.703125,228.125,230.78125,232.8125,237.1875,233.828125,230.078125,223.4375,216.25,12.921875,9.71875,8.015625,8.609375,9.4375,9.8125,10.203125,8.1875,5.796875,4.78125,3.3125,2.125,2.984375,3.796875,5.21875,7.765625,97.5,6.015625,-9999.0,-9999.0,-9999.0,23.875,2.015625,10.21875,1018.859375,1.078125,0.0,2.515625,-28.8166236,24.991639
895,Unprovoked,south africa,Spearfishing,Unspecified,Jul,N,M,1986.0,26.0,2.5,2.359375,2.234375,2.15625,2.1875,2.140625,2.375,2.484375,2.734375,2.984375,3.546875,3.703125,4.015625,4.140625,4.53125,4.84375,150.078125,191.25,182.65625,179.296875,204.296875,222.03125,224.609375,220.703125,228.125,230.78125,232.8125,237.1875,233.828125,230.078125,223.4375,216.25,12.921875,9.71875,8.015625,8.609375,9.4375,9.8125,10.203125,8.1875,5.796875,4.78125,3.3125,2.125,2.984375,3.796875,5.21875,7.765625,97.5,6.015625,-9999.0,-9999.0,-9999.0,23.875,2.015625,10.21875,1018.859375,1.078125,0.0,2.515625,-28.8166236,24.991639
896,Unprovoked,south africa,Treading water,Unspecified,Mar,N,M,1986.0,26.0,2.5,2.359375,2.234375,2.15625,2.1875,2.140625,2.375,2.484375,2.734375,2.984375,3.546875,3.703125,4.015625,4.140625,4.53125,4.84375,150.078125,191.25,182.65625,179.296875,204.296875,222.03125,224.609375,220.703125,228.125,230.78125,232.8125,237.1875,233.828125,230.078125,223.4375,216.25,12.921875,9.71875,8.015625,8.609375,9.4375,9.8125,10.203125,8.1875,5.796875,4.78125,3.3125,2.125,2.984375,3.796875,5.21875,7.765625,97.5,6.015625,-9999.0,-9999.0,-9999.0,23.875,2.015625,10.21875,1018.859375,1.078125,0.0,2.515625,-28.8166236,24.991639
897,Unprovoked,south africa,Surfing,White,Feb,N,M,1986.0,21.0,2.5,2.359375,2.234375,2.15625,2.1875,2.140625,2.375,2.484375,2.734375,2.984375,3.546875,3.703125,4.015625,4.140625,4.53125,4.84375,150.078125,191.25,182.65625,179.296875,204.296875,222.03125,224.609375,220.703125,228.125,230.78125,232.8125,237.1875,233.828125,230.078125,223.4375,216.25,12.921875,9.71875,8.015625,8.609375,9.4375,9.8125,10.203125,8.1875,5.796875,4.78125,3.3125,2.125,2.984375,3.796875,5.21875,7.765625,97.5,6.015625,-9999.0,-9999.0,-9999.0,23.875,2.015625,10.21875,1018.859375,1.078125,0.0,2.515625,-28.8166236,24.991639
898,Unprovoked,south africa,Swimming,Unspecified,Feb,N,M,1986.0,46.0,2.5,2.359375,2.234375,2.15625,2.1875,2.140625,2.375,2.484375,2.734375,2.984375,3.546875,3.703125,4.015625,4.140625,4.53125,4.84375,150.078125,191.25,182.65625,179.296875,204.296875,222.03125,224.609375,220.703125,228.125,230.78125,232.8125,237.1875,233.828125,230.078125,223.4375,216.25,12.921875,9.71875,8.015625,8.609375,9.4375,9.8125,10.203125,8.1875,5.796875,4.78125,3.3125,2.125,2.984375,3.796875,5.21875,7.765625,97.5,6.015625,-9999.0,-9999.0,-9999.0,23.875,2.015625,10.21875,1018.859375,1.078125,0.0,2.515625,-28.8166236,24.991639
899,Unprovoked,south africa,Spearfishing,Unspecified,Feb,N,M,1986.0,29.0,2.5,2.359375,2.234375,2.15625,2.1875,2.140625,2.375,2.484375,2.734375,2.984375,3.546875,3.703125,4.015625,4.140625,4.53125,4.84375,150.078125,191.25,182.65625,179.296875,204.296875,222.03125,224.609375,220.703125,228.125,230.78125,232.8125,237.1875,233.828125,230.078125,223.4375,216.25,12.921875,9.71875,8.015625,8.609375,9.4375,9.8125,10.203125,8.1875,5.796875,4.78125,3.3125,2.125,2.984375,3.796875,5.21875,7.765625,97.5,6.015625,-9999.0,-9999.0,-9999.0,23.875,2.015625,10.21875,1018.859375,1.078125,0.0,2.515625,-28.8166236,24.991639
900,Unprovoked,australia,Surfing,Unspecified,Feb,N,M,1986.0,29.0,3.5625,3.578125,3.546875,3.515625,3.421875,3.5,3.515625,3.546875,3.65625,3.59375,3.59375,3.546875,3.5625,3.921875,4.734375,5.203125,79.921875,80.546875,101.09375,102.109375,103.828125,99.609375,106.40625,96.796875,88.90625,80.46875,82.96875,89.921875,121.953125,129.921875,139.296875,142.109375,13.890625,11.4375,8.484375,6.375,5.296875,4.46875,3.796875,3.40625,3.078125,3.375,3.375,3.203125,2.453125,1.390625,3.5625,5.84375,97.5,2.640625,-9999.0,-9999.0,-9999.0,25.875,-3.828125,10.828125,1015.9375,2.796875,0.0,3.296875,-24.7761086,134.755
901,Unprovoked,usa,Surfing,Unspecified,Jan,N,M,1986.0,22.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
902,Unprovoked,usa,Surfing,Unspecified,,N,M,1986.0,16.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
903,Unprovoked,south africa,Body boarding,White,Oct,N,M,1985.0,22.0,2.5,2.359375,2.234375,2.15625,2.1875,2.140625,2.375,2.484375,2.734375,2.984375,3.546875,3.703125,4.015625,4.140625,4.53125,4.84375,150.078125,191.25,182.65625,179.296875,204.296875,222.03125,224.609375,220.703125,228.125,230.78125,232.8125,237.1875,233.828125,230.078125,223.4375,216.25,12.921875,9.71875,8.015625,8.609375,9.4375,9.8125,10.203125,8.1875,5.796875,4.78125,3.3125,2.125,2.984375,3.796875,5.21875,7.765625,97.5,6.015625,-9999.0,-9999.0,-9999.0,23.875,2.015625,10.21875,1018.859375,1.078125,0.0,2.515625,-28.8166236,24.991639
904,Unprovoked,usa,Hookah diving for abalone,Unspecified,Oct,N,M,1985.0,46.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
905,Invalid,usa,Swimming,Unspecified,Sep,,M,1985.0,17.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
906,Invalid,usa,Wading,Unspecified,Aug,,M,1985.0,11.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
907,Invalid,usa,Scuba diving,Unspecified,Aug,,M,1985.0,25.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
908,Unprovoked,usa,Wading,Unspecified,Jul,N,F,1985.0,13.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
909,Unprovoked,australia,Free diving for scallops,White,Mar,Y,F,1985.0,33.0,3.5625,3.578125,3.546875,3.515625,3.421875,3.5,3.515625,3.546875,3.65625,3.59375,3.59375,3.546875,3.5625,3.921875,4.734375,5.203125,79.921875,80.546875,101.09375,102.109375,103.828125,99.609375,106.40625,96.796875,88.90625,80.46875,82.96875,89.921875,121.953125,129.921875,139.296875,142.109375,13.890625,11.4375,8.484375,6.375,5.296875,4.46875,3.796875,3.40625,3.078125,3.375,3.375,3.203125,2.453125,1.390625,3.5625,5.84375,97.5,2.640625,-9999.0,-9999.0,-9999.0,25.875,-3.828125,10.828125,1015.9375,2.796875,0.0,3.296875,-24.7761086,134.755
910,Unprovoked,usa,Scuba Diving for lobster (at surface),White,Feb,N,M,1985.0,29.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
911,Unprovoked,south africa,Swimming,Unspecified,Jan,N,M,1985.0,15.0,2.5,2.359375,2.234375,2.15625,2.1875,2.140625,2.375,2.484375,2.734375,2.984375,3.546875,3.703125,4.015625,4.140625,4.53125,4.84375,150.078125,191.25,182.65625,179.296875,204.296875,222.03125,224.609375,220.703125,228.125,230.78125,232.8125,237.1875,233.828125,230.078125,223.4375,216.25,12.921875,9.71875,8.015625,8.609375,9.4375,9.8125,10.203125,8.1875,5.796875,4.78125,3.3125,2.125,2.984375,3.796875,5.21875,7.765625,97.5,6.015625,-9999.0,-9999.0,-9999.0,23.875,2.015625,10.21875,1018.859375,1.078125,0.0,2.515625,-28.8166236,24.991639
912,Unprovoked,south africa,Surfing,White,Jan,N,M,1985.0,18.0,2.5,2.359375,2.234375,2.15625,2.1875,2.140625,2.375,2.484375,2.734375,2.984375,3.546875,3.703125,4.015625,4.140625,4.53125,4.84375,150.078125,191.25,182.65625,179.296875,204.296875,222.03125,224.609375,220.703125,228.125,230.78125,232.8125,237.1875,233.828125,230.078125,223.4375,216.25,12.921875,9.71875,8.015625,8.609375,9.4375,9.8125,10.203125,8.1875,5.796875,4.78125,3.3125,2.125,2.984375,3.796875,5.21875,7.765625,97.5,6.015625,-9999.0,-9999.0,-9999.0,23.875,2.015625,10.21875,1018.859375,1.078125,0.0,2.515625,-28.8166236,24.991639
913,Unprovoked,south africa,Spearfishing,White,Jan,N,M,1985.0,34.0,2.5,2.359375,2.234375,2.15625,2.1875,2.140625,2.375,2.484375,2.734375,2.984375,3.546875,3.703125,4.015625,4.140625,4.53125,4.84375,150.078125,191.25,182.65625,179.296875,204.296875,222.03125,224.609375,220.703125,228.125,230.78125,232.8125,237.1875,233.828125,230.078125,223.4375,216.25,12.921875,9.71875,8.015625,8.609375,9.4375,9.8125,10.203125,8.1875,5.796875,4.78125,3.3125,2.125,2.984375,3.796875,5.21875,7.765625,97.5,6.015625,-9999.0,-9999.0,-9999.0,23.875,2.015625,10.21875,1018.859375,1.078125,0.0,2.515625,-28.8166236,24.991639
914,Provoked,south africa,Spearfishing,Unspecified,Jan,N,M,1985.0,20.0,2.5,2.359375,2.234375,2.15625,2.1875,2.140625,2.375,2.484375,2.734375,2.984375,3.546875,3.703125,4.015625,4.140625,4.53125,4.84375,150.078125,191.25,182.65625,179.296875,204.296875,222.03125,224.609375,220.703125,228.125,230.78125,232.8125,237.1875,233.828125,230.078125,223.4375,216.25,12.921875,9.71875,8.015625,8.609375,9.4375,9.8125,10.203125,8.1875,5.796875,4.78125,3.3125,2.125,2.984375,3.796875,5.21875,7.765625,97.5,6.015625,-9999.0,-9999.0,-9999.0,23.875,2.015625,10.21875,1018.859375,1.078125,0.0,2.515625,-28.8166236,24.991639
915,Unprovoked,australia,Sailing on catamaran & fell into the water,Tiger,Nov,Y,M,1984.0,16.0,3.5625,3.578125,3.546875,3.515625,3.421875,3.5,3.515625,3.546875,3.65625,3.59375,3.59375,3.546875,3.5625,3.921875,4.734375,5.203125,79.921875,80.546875,101.09375,102.109375,103.828125,99.609375,106.40625,96.796875,88.90625,80.46875,82.96875,89.921875,121.953125,129.921875,139.296875,142.109375,13.890625,11.4375,8.484375,6.375,5.296875,4.46875,3.796875,3.40625,3.078125,3.375,3.375,3.203125,2.453125,1.390625,3.5625,5.84375,97.5,2.640625,-9999.0,-9999.0,-9999.0,25.875,-3.828125,10.828125,1015.9375,2.796875,0.0,3.296875,-24.7761086,134.755
916,Invalid,usa,Swimming,Unspecified,Oct,,M,1984.0,22.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
917,Unprovoked,usa,Surfing or body surfing,Unspecified,Oct,N,F,1984.0,23.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
918,Invalid,usa,Wading,Unspecified,Oct,,F,1984.0,25.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
919,Unprovoked,usa,Surfing,Unspecified,Oct,N,M,1984.0,15.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
920,Unprovoked,usa,Surfing (sitting on his board),White,Sep,N,M,1984.0,25.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
921,Unprovoked,usa,Surfing,Unspecified,Sep,N,M,1984.0,16.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
922,Unprovoked,usa,Skindiving,White,Sep,Y,M,1984.0,28.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
923,Unprovoked,usa,Swimming,Unspecified,Jul,N,F,1984.0,18.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
924,Invalid,south africa,Spearfishing,Unspecified,Jul,,M,1984.0,21.0,2.5,2.359375,2.234375,2.15625,2.1875,2.140625,2.375,2.484375,2.734375,2.984375,3.546875,3.703125,4.015625,4.140625,4.53125,4.84375,150.078125,191.25,182.65625,179.296875,204.296875,222.03125,224.609375,220.703125,228.125,230.78125,232.8125,237.1875,233.828125,230.078125,223.4375,216.25,12.921875,9.71875,8.015625,8.609375,9.4375,9.8125,10.203125,8.1875,5.796875,4.78125,3.3125,2.125,2.984375,3.796875,5.21875,7.765625,97.5,6.015625,-9999.0,-9999.0,-9999.0,23.875,2.015625,10.21875,1018.859375,1.078125,0.0,2.515625,-28.8166236,24.991639
925,Unprovoked,south africa,Surfing,White,Jun,N,M,1984.0,27.0,2.5,2.359375,2.234375,2.15625,2.1875,2.140625,2.375,2.484375,2.734375,2.984375,3.546875,3.703125,4.015625,4.140625,4.53125,4.84375,150.078125,191.25,182.65625,179.296875,204.296875,222.03125,224.609375,220.703125,228.125,230.78125,232.8125,237.1875,233.828125,230.078125,223.4375,216.25,12.921875,9.71875,8.015625,8.609375,9.4375,9.8125,10.203125,8.1875,5.796875,4.78125,3.3125,2.125,2.984375,3.796875,5.21875,7.765625,97.5,6.015625,-9999.0,-9999.0,-9999.0,23.875,2.015625,10.21875,1018.859375,1.078125,0.0,2.515625,-28.8166236,24.991639
926,Unprovoked,usa,Towing her sister on plastic ski board,Unspecified,Jun,N,F,1984.0,13.0,2.875,3.265625,3.75,4.15625,4.328125,4.421875,4.609375,5.0,5.28125,5.625,6.015625,6.375,6.890625,7.6875,8.25,8.40625,234.6875,265.546875,301.328125,313.203125,287.265625,305.625,291.328125,294.453125,293.125,293.4375,292.96875,288.4375,292.96875,284.375,274.140625,304.6875,4.375,5.140625,5.65625,4.71875,3.1875,2.59375,2.296875,2.1875,2.9375,4.0,4.578125,4.921875,5.3125,6.140625,7.296875,5.984375,97.5,4.59375,-9999.0,-9999.0,-9999.0,12.8125,12.328125,4.28125,1019.5625,0.484375,0.0,2.671875,39.7837304,-100.445882
